lat,lon,inUS,Within 500mi of Riyadh,Distance_from_Riyadh(in mi),Within 500mi of Tokyo,Distance_from_Tokyo(in mi),Within 500mi of Mexico City,Distance_from_Mexico City(in mi),Within 500mi of Lima,Distance_from_Lima(in mi),Within 500mi of Reykjavik,Distance_from_Reykjavik(in mi),Within 500mi of Zurich,Distance_from_Zurich(in mi),Within 500mi of Sydney,Distance_from_Sydney(in mi)
-54.966103,-70.01153,N,N,"8,650.496",N,"10,497.088",N,"5,418.585",N,"2,989.587",N,"8,617.054",N,"8,407.432",N,"5,829.272"
-54.8,-68.3,N,N,"8,584.033",N,"10,560.815",N,"5,441.214",N,"2,991.662",N,"8,580.084",N,"8,347.511",N,"5,875.665"
-54.75,-64.25,N,N,"8,423.161",N,"10,693.171",N,"5,522.267",N,"3,031.126",N,"8,517.755",N,"8,223.534",N,"5,960.411"
-54.666668,-66.666664,N,N,"8,519.785",N,"10,619.864",N,"5,466.106",N,"2,998.141",N,"8,547.105",N,"8,291.887",N,"5,917.459"
-54.5,-68.0,N,N,"8,573.869",N,"10,582.184",N,"5,429.142",N,"2,974.1",N,"8,556.356",N,"8,325.004",N,"5,899.598"
-54.5,-67.0,N,N,"8,533.861",N,"10,615.517",N,"5,449.373",N,"2,983.624",N,"8,541.34",N,"8,294.467",N,"5,920.494"
-54.416668,-67.86667,N,N,"8,568.996",N,"10,589.815",N,"5,426.819",N,"2,969.709",N,"8,549.004",N,"8,317.198",N,"5,907.311"
-54.333332,-69.5,N,N,"8,634.976",N,"10,537.065",N,"5,389.716",N,"2,950.325",N,"8,568.821",N,"8,364.019",N,"5,877.057"
-53.5,-68.333336,N,N,"8,592.795",N,"10,607.328",N,"5,362.431",N,"2,903.732",N,"8,497.473",N,"8,290.679",N,"5,951.114"
-53.15483,-70.911285,N,N,"8,700.906",N,"10,525.67",N,"5,290.786",N,"2,860.121",N,"8,516.405",N,"8,357.26",N,"5,913.222"
-52.916668,-71.083336,N,N,"8,709.795",N,"10,526.613",N,"5,272.884",N,"2,842.752",N,"8,504.09",N,"8,352.441",N,"5,922.863"
-52.500256,-73.00066,N,N,"8,792.915",N,"10,465.615",N,"5,211.555",N,"2,803.764",N,"8,509.766",N,"8,397.187",N,"5,900.692"
-51.622612,-69.218124,N,N,"8,638.977",N,"10,636.901",N,"5,231.145",N,"2,769.077",N,"8,391.243",N,"8,234.605",N,"6,040.889"
-51.333332,-70.333336,N,N,"8,688.269",N,"10,602.092",N,"5,190.666",N,"2,740.199",N,"8,390.923",N,"8,258.158",N,"6,031.485"
-50.75,-74.0,N,N,"8,850.766",N,"10,468.784",N,"5,083.857",N,"2,679.327",N,"8,416.547",N,"8,355.832",N,"5,973.614"
-50.0,-69.25,N,N,"8,646.595",N,"10,682.691",N,"5,132.529",N,"2,659.18",N,"8,287.728",N,"8,162.072",N,"6,134.573"
-49.75,-72.0,N,N,"8,769.881",N,"10,574.885",N,"5,059.887",N,"2,620.53",N,"8,318.116",N,"8,243.7",N,"6,081.122"
-49.0,-70.0,N,N,"8,683.308",N,"10,677.104",N,"5,055.783",N,"2,584.651",N,"8,236.034",N,"8,141.694",N,"6,174.318"
-48.75,-68.5,N,N,"8,615.737",N,"10,746.92",N,"5,074.16",N,"2,582.696",N,"8,195.011",N,"8,079.364",N,"6,225.592"
-48.25,-71.0,N,N,"8,731.295",N,"10,650.805",N,"4,988.525",N,"2,525.267",N,"8,205.03",N,"8,141.882",N,"6,192.28"
-48.0,-73.833336,N,N,"8,862.803",N,"10,529.832",N,"4,914.729",N,"2,490.729",N,"8,239.324",N,"8,230.108",N,"6,131.581"
-47.333332,-67.833336,N,N,"8,585.689",N,"10,810.31",N,"5,005.453",N,"2,495.769",N,"8,092.585",N,"7,990.388",N,"6,325.008"
-47.0,-70.916664,N,N,"8,730.791",N,"10,679.024",N,"4,914.071",N,"2,440.953",N,"8,123.463",N,"8,081.87",N,"6,266.146"
-46.583332,-73.75,N,N,"8,865.998",N,"10,555.284",N,"4,827.946",N,"2,393.68",N,"8,147.692",N,"8,164.073",N,"6,213.103"
-46.5,-73.5,N,N,"8,854.484",N,"10,568.075",N,"4,827.893",N,"2,389.175",N,"8,137.786",N,"8,151.3",N,"6,224.725"
-45.57635,-72.06206,N,N,"8,788.271",N,"10,648.278",N,"4,801.567",N,"2,334.85",N,"8,052.555",N,"8,057.383",N,"6,316.629"
-45.333332,-70.833336,N,N,"8,729.022",N,"10,709.983",N,"4,814.559",N,"2,328.546",N,"8,014.936",N,"8,001.88",N,"6,364.025"
-45.333332,-69.0,N,N,"8,639.981",N,"10,796.782",N,"4,858.168",N,"2,347.962",N,"7,982.915",N,"7,936.497",N,"6,412.695"
-45.333332,-67.333336,N,N,"8,559.059",N,"10,875.045",N,"4,899.799",N,"2,369.743",N,"7,954.721",N,"7,877.883",N,"6,455.396"
-44.916668,-73.333336,N,N,"8,851.463",N,"10,595.204",N,"4,733.055",N,"2,281.361",N,"8,033.653",N,"8,073.565",N,"6,318.269"
-44.416668,-66.166664,N,N,"8,499.008",N,"10,946.888",N,"4,876.846",N,"2,327.467",N,"7,875.817",N,"7,792.758",N,"6,539.042"
-44.25,-69.666664,N,N,"8,671.369",N,"10,780.801",N,"4,777.001",N,"2,267.48",N,"7,924.509",N,"7,909.063",N,"6,457.997"
-44.0,-69.0,N,N,"8,637.877",N,"10,816.518",N,"4,778.635",N,"2,258.749",N,"7,896.687",N,"7,873.179",N,"6,490.407"
-44.0,-68.833336,N,N,"8,629.598",N,"10,824.65",N,"4,782.84",N,"2,260.87",N,"7,893.792",N,"7,867.189",N,"6,494.85"
-43.833332,-67.166664,N,N,"8,546.227",N,"10,908.207",N,"4,816.189",N,"2,273.378",N,"7,854.483",N,"7,799.643",N,"6,548.305"
-43.333332,-70.666664,N,N,"8,719.982",N,"10,741.79",N,"4,697.348",N,"2,194.754",N,"7,883.154",N,"7,902.125",N,"6,483.465"
-43.333332,-66.333336,N,N,"8,502.456",N,"10,956.284",N,"4,809.545",N,"2,254.165",N,"7,807.973",N,"7,745.712",N,"6,599.348"
-43.333332,-65.0,N,N,"8,435.651",N,"11,021.625",N,"4,846.65",N,"2,278.04",N,"7,786.063",N,"7,698.686",N,"6,632.903"
-43.30016,-65.10228,N,N,"8,440.581",N,"11,017.157",N,"4,841.865",N,"2,273.992",N,"7,785.554",N,"7,700.635",N,"6,632.358"
-43.15,147.85,N,N,"7,901.489",N,"5,470.542",N,"8,275.129",N,"7,687.022",N,"10,930.754",N,"10,458.533",N,665.438
-43.083332,-71.416664,N,N,"8,757.454",N,"10,706.486",N,"4,664.075",N,"2,170.435",N,"7,880.678",N,"7,918.004",N,"6,476.65"
-42.983334,147.13333,N,N,"7,863.715",N,"5,455.068",N,"8,311.466",N,"7,721.472",N,"10,911.767",N,"10,420.735",N,666.198
-42.92101,147.26334,N,N,"7,869.232",N,"5,451.492",N,"8,304.965",N,"7,719.563",N,"10,909",N,"10,425.079",N,659.869
-42.88321,147.33167,N,N,"7,872.063",N,"5,449.272",N,"8,301.547",N,"7,718.787",N,"10,907.197",N,"10,427.222",N,656.23
-42.833332,-68.666664,N,N,"8,617.935",N,"10,846.593",N,"4,717.866",N,"2,185.368",N,"7,815.294",N,"7,805.234",N,"6,567.427"
